Area (acres)	Recreation visitors (2016)	Name
48995.91	3303393	Acadia
8256.67	28892	American Samoa
76678.98	1585718	Arches
242755.94	996263	Badlands
801163.21	388290	Big Bend
172971.11	514709	Biscayne
30749.75	238018	Black Canyon of the Gunnison
35835.08	2365110	Bryce Canyon
337597.83	776218	Canyonlands
241904.26	1064904	Capitol Reef
46766.45	466773	Carlsbad Caverns
249561	364807	Channel Islands
26275.82	143843	Congaree
183224.05	756344	Crater Lake
32950	2423390	Cuyahoga Valley
3373063.14	1296283	Death Valley
4740911.16	587412	Denali
64701.22	73661	Dry Tortugas
1508975.57	930907	Everglades
7523897.45	10047	Gates of the Arctic
1013324.23	2946681	Glacier
3223383.43	520171	Glacier Bay
1201647.03	5969811	Grand Canyon
310043.96	3270076	Grand Teton
77180	144846	Great Basin
107301.87	388308	Great Sand Dunes
522426.88	11312786	Great Smoky Mountains
86367.1	181839	Guadalupe Mountains
33264.62	1263558	Haleakalā
323431.38	1887580	Hawaii Volcanoes
5549.1	1544300	Hot Springs
571790.11	24966	Isle Royale
790635.74	2505286	Joshua Tree
3674368.02	37818	Katmai
669983.65	346534	Kenai Fjords
461901.2	607479	Kings Canyon
1750716.16	15500	Kobuk Valley
2619836.49	21102	Lake Clark
106589.02	536068	Lassen Volcanic
52830.19	586514	Mammoth Cave
52485.17	583527	Mesa Verde
236381.49	1356913	Mount Rainier
504780.94	28646	North Cascades
922650.1	3390221	Olympic
221415.74	643274	Petrified Forest
26685.73	215555	Pinnacles
138999.37	536297	Redwood
265795.2	4517585	Rocky Mountain
91442.42	820426	Saguaro
404062.63	1254688	Sequoia
199116.92	1437341	Shenandoah
70446.89	753880	Theodore Roosevelt
14948.46	411343	Virgin Islands
218200.15	241912	Voyageurs
33923.68	617377	Wind Cave
8323146.48	79047	Wrangell–​St. Elias
2219790.71	4257177	Yellowstone
761347.5	5028868	Yosemite
147237.02	4295127	Zion
